side,horizon_ms,notional,regime,samples,executable_percent,mean_net_return_bps,median_net_return_bps,positive_percent,p10_net_return_bps,p90_net_return_bps,mean_mfe_bps,mean_mae_bps,average_cost_bps,average_depth_slippage_bps
SHORT,500,500,MEDIUM,373,100.0,-10.02686516983892,-10.052701720377998,0.0,-10.052781793051057,-10.052662329459324,-7.222489879314398,-10.967099312120649,10.047340684084055,0.00030608593091099824
SHORT,1000,100,EXTREME,1782,99.94388327721661,-10.05712217835064,-10.052741170268845,0.0,-10.26390339632197,-10.052668982943777,-7.624942305366811,-12.15920013216372,10.053181109844852,3.486303055603926e-05
SHORT,1000,100,HIGH,1805,99.83379501385042,-10.05755192104415,-10.052740892246218,0.0,-10.05283252011913,-10.052671007046621,-7.349930183009311,-11.906355437453339,10.050337793299107,-5.966063943576962e-25
SHORT,1000,100,LOW,3232,100.0,-10.0435254946903,-10.052726994851147,0.0,-10.052813834532488,-10.052668982943777,-8.066485735249058,-11.971920009922968,10.051639708976241,6.0972985764676486e-06
SHORT,1000,100,MEDIUM,373,100.0,-10.016605938681074,-10.052701720377998,0.0,-10.052785134693103,-9.947273005148853,-7.2224168430381965,-10.967026293143968,10.05502797101893,7.677575300153527e-05
SHORT,1000,1000,EXTREME,1782,99.94388327721661,-10.057477236215087,-10.052741170268845,0.0,-10.26390339632197,-10.052668982943777,-7.625205409658206,-12.159473795054888,10.05353598280333,0.0003897359890352144
SHORT,1000,1000,HIGH,1805,99.83379501385042,-10.057607630450997,-10.052740892246218,0.0,-10.05283252011913,-10.052671007046621,-7.349953335808088,-11.906378575160401,10.05039347277325,5.567947414514172e-05
SHORT,1000,1000,LOW,3232,100.0,-10.043534689601454,-10.052726994851147,0.0,-10.052813834532488,-10.052668982943777,-8.066494932045698,-11.971929199255186,10.05164889968895,1.528801128531513e-05
SHORT,1000,1000,MEDIUM,373,100.0,-10.016745244796368,-10.052701720377998,0.0,-10.052785134693103,-9.947273005148853,-7.222556114667905,-10.967165531785513,10.055167215890375,0.0002160206244458374
SHORT,1000,500,EXTREME,1782,99.94388327721661,-10.057328258793731,-10.052741170268845,0.0,-10.26390339632197,-10.052668982943777,-7.6251479265902935,-12.159405645473104,10.053387084885854,0.00024083807155939974
SHORT,1000,500,HIGH,1805,99.83379501385042,-10.05755192104415,-10.052740892246218,0.0,-10.05283252011913,-10.052671007046621,-7.349930183009311,-11.906355437453339,10.050337793299107,0.0
